ignore,Fuel,Date,Zone,Week,Year,MW
FOU2T52W,INTIRL,20181018131100,N,7,2019,500
FOU2T52W,INTNED,20181018131100,N,7,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,7,2019,1048
FOU2T52W,NUCLEAR,20181018131100,N,7,2019,9086
FOU2T52W,OCGT,20181018131100,N,7,2019,876
FOU2T52W,OTHER,20181018131100,N,7,2019,66
FOU2T52W,PS,20181018131100,N,7,2019,2810
FOU2T52W,WIND,20181018131100,N,7,2019,6464
FOU2T52W,BIOMASS,20181018131100,N,8,2019,3122
FOU2T52W,CCGT,20181018131100,N,8,2019,29226
FOU2T52W,COAL,20181018131100,N,8,2019,9744
FOU2T52W,INTEW,20181018131100,N,8,2019,500
FOU2T52W,INTFR,20181018131100,N,8,2019,2000
FOU2T52W,INTIRL,20181018131100,N,8,2019,500
FOU2T52W,INTNED,20181018131100,N,8,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,8,2019,1048
FOU2T52W,NUCLEAR,20181018131100,N,8,2019,8545
FOU2T52W,OCGT,20181018131100,N,8,2019,876
FOU2T52W,OTHER,20181018131100,N,8,2019,66
FOU2T52W,PS,20181018131100,N,8,2019,2810
FOU2T52W,WIND,20181018131100,N,8,2019,6470
FOU2T52W,BIOMASS,20181018131100,N,9,2019,3132
FOU2T52W,CCGT,20181018131100,N,9,2019,29466
FOU2T52W,COAL,20181018131100,N,9,2019,9744
FOU2T52W,INTEW,20181018131100,N,9,2019,500
FOU2T52W,INTFR,20181018131100,N,9,2019,2000
FOU2T52W,INTIRL,20181018131100,N,9,2019,500
FOU2T52W,INTNED,20181018131100,N,9,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,9,2019,1048
FOU2T52W,NUCLEAR,20181018131100,N,9,2019,8098
FOU2T52W,OCGT,20181018131100,N,9,2019,876
FOU2T52W,OTHER,20181018131100,N,9,2019,66
FOU2T52W,PS,20181018131100,N,9,2019,2810
FOU2T52W,WIND,20181018131100,N,9,2019,6481
FOU2T52W,BIOMASS,20181018131100,N,10,2019,3132
FOU2T52W,CCGT,20181018131100,N,10,2019,29032
FOU2T52W,COAL,20181018131100,N,10,2019,9744
FOU2T52W,INTEW,20181018131100,N,10,2019,500
FOU2T52W,INTFR,20181018131100,N,10,2019,2000
FOU2T52W,INTIRL,20181018131100,N,10,2019,500
FOU2T52W,INTNED,20181018131100,N,10,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,10,2019,1048
FOU2T52W,NUCLEAR,20181018131100,N,10,2019,8346
FOU2T52W,OCGT,20181018131100,N,10,2019,876
FOU2T52W,OTHER,20181018131100,N,10,2019,66
FOU2T52W,PS,20181018131100,N,10,2019,2720
FOU2T52W,WIND,20181018131100,N,10,2019,5187
FOU2T52W,BIOMASS,20181018131100,N,11,2019,3132
FOU2T52W,CCGT,20181018131100,N,11,2019,29334
FOU2T52W,COAL,20181018131100,N,11,2019,9744
FOU2T52W,INTEW,20181018131100,N,11,2019,500
FOU2T52W,INTFR,20181018131100,N,11,2019,2000
FOU2T52W,INTIRL,20181018131100,N,11,2019,500
FOU2T52W,INTNED,20181018131100,N,11,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,11,2019,1048
FOU2T52W,NUCLEAR,20181018131100,N,11,2019,7424
FOU2T52W,OCGT,20181018131100,N,11,2019,876
FOU2T52W,OTHER,20181018131100,N,11,2019,66
FOU2T52W,PS,20181018131100,N,11,2019,2720
FOU2T52W,WIND,20181018131100,N,11,2019,5195
FOU2T52W,BIOMASS,20181018131100,N,12,2019,2472
FOU2T52W,CCGT,20181018131100,N,12,2019,28909
FOU2T52W,COAL,20181018131100,N,12,2019,9744
FOU2T52W,INTEW,20181018131100,N,12,2019,500
FOU2T52W,INTFR,20181018131100,N,12,2019,2000
FOU2T52W,INTIRL,20181018131100,N,12,2019,500
FOU2T52W,INTNED,20181018131100,N,12,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,12,2019,1048
FOU2T52W,NUCLEAR,20181018131100,N,12,2019,6380
FOU2T52W,OCGT,20181018131100,N,12,2019,876
FOU2T52W,OTHER,20181018131100,N,12,2019,66
FOU2T52W,PS,20181018131100,N,12,2019,2600
FOU2T52W,WIND,20181018131100,N,12,2019,5201
FOU2T52W,BIOMASS,20181018131100,N,13,2019,2472
FOU2T52W,CCGT,20181018131100,N,13,2019,29329
FOU2T52W,COAL,20181018131100,N,13,2019,9744
FOU2T52W,INTEW,20181018131100,N,13,2019,500
FOU2T52W,INTFR,20181018131100,N,13,2019,2000
FOU2T52W,INTIRL,20181018131100,N,13,2019,500
FOU2T52W,INTNED,20181018131100,N,13,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,13,2019,1048
FOU2T52W,NUCLEAR,20181018131100,N,13,2019,6357
FOU2T52W,OCGT,20181018131100,N,13,2019,876
FOU2T52W,OTHER,20181018131100,N,13,2019,66
FOU2T52W,PS,20181018131100,N,13,2019,2600
FOU2T52W,WIND,20181018131100,N,13,2019,5209
FOU2T52W,BIOMASS,20181018131100,N,14,2019,3132
FOU2T52W,CCGT,20181018131100,N,14,2019,26406
FOU2T52W,COAL,20181018131100,N,14,2019,8226
FOU2T52W,INTEW,20181018131100,N,14,2019,500
FOU2T52W,INTFR,20181018131100,N,14,2019,1000
FOU2T52W,INTIRL,20181018131100,N,14,2019,500
FOU2T52W,INTNED,20181018131100,N,14,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,14,2019,996
FOU2T52W,NUCLEAR,20181018131100,N,14,2019,7647
FOU2T52W,OCGT,20181018131100,N,14,2019,876
FOU2T52W,OTHER,20181018131100,N,14,2019,66
FOU2T52W,PS,20181018131100,N,14,2019,2300
FOU2T52W,WIND,20181018131100,N,14,2019,3871
FOU2T52W,BIOMASS,20181018131100,N,15,2019,3132
FOU2T52W,CCGT,20181018131100,N,15,2019,25566
FOU2T52W,COAL,20181018131100,N,15,2019,8226
FOU2T52W,INTEW,20181018131100,N,15,2019,500
FOU2T52W,INTFR,20181018131100,N,15,2019,1000
FOU2T52W,INTIRL,20181018131100,N,15,2019,500
FOU2T52W,INTNED,20181018131100,N,15,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,15,2019,986
FOU2T52W,NUCLEAR,20181018131100,N,15,2019,7314
FOU2T52W,OCGT,20181018131100,N,15,2019,876
FOU2T52W,OTHER,20181018131100,N,15,2019,66
FOU2T52W,PS,20181018131100,N,15,2019,2180
FOU2T52W,WIND,20181018131100,N,15,2019,3876
FOU2T52W,BIOMASS,20181018131100,N,16,2019,3132
FOU2T52W,CCGT,20181018131100,N,16,2019,26523
FOU2T52W,COAL,20181018131100,N,16,2019,6764
FOU2T52W,INTEW,20181018131100,N,16,2019,500
FOU2T52W,INTFR,20181018131100,N,16,2019,1000
FOU2T52W,INTIRL,20181018131100,N,16,2019,500
FOU2T52W,INTNED,20181018131100,N,16,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,16,2019,986
FOU2T52W,NUCLEAR,20181018131100,N,16,2019,7589
FOU2T52W,OCGT,20181018131100,N,16,2019,804
FOU2T52W,OTHER,20181018131100,N,16,2019,66
FOU2T52W,PS,20181018131100,N,16,2019,2180
FOU2T52W,WIND,20181018131100,N,16,2019,3863
FOU2T52W,BIOMASS,20181018131100,N,17,2019,3132
FOU2T52W,CCGT,20181018131100,N,17,2019,25763
FOU2T52W,COAL,20181018131100,N,17,2019,6749
FOU2T52W,INTEW,20181018131100,N,17,2019,500
FOU2T52W,INTFR,20181018131100,N,17,2019,1000
FOU2T52W,INTIRL,20181018131100,N,17,2019,500
FOU2T52W,INTNED,20181018131100,N,17,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,17,2019,986
FOU2T52W,NUCLEAR,20181018131100,N,17,2019,8177
FOU2T52W,OCGT,20181018131100,N,17,2019,804
FOU2T52W,OTHER,20181018131100,N,17,2019,66
FOU2T52W,PS,20181018131100,N,17,2019,2300
FOU2T52W,WIND,20181018131100,N,17,2019,3803
FOU2T52W,BIOMASS,20181018131100,N,18,2019,2517
FOU2T52W,CCGT,20181018131100,N,18,2019,26572
FOU2T52W,COAL,20181018131100,N,18,2019,6749
FOU2T52W,INTEW,20181018131100,N,18,2019,500
FOU2T52W,INTFR,20181018131100,N,18,2019,2000
FOU2T52W,INTIRL,20181018131100,N,18,2019,500
FOU2T52W,INTNED,20181018131100,N,18,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,18,2019,996
FOU2T52W,NUCLEAR,20181018131100,N,18,2019,8402
FOU2T52W,OCGT,20181018131100,N,18,2019,804
FOU2T52W,OTHER,20181018131100,N,18,2019,66
FOU2T52W,PS,20181018131100,N,18,2019,2000
FOU2T52W,WIND,20181018131100,N,18,2019,3866
FOU2T52W,BIOMASS,20181018131100,N,19,2019,2517
FOU2T52W,CCGT,20181018131100,N,19,2019,25933
FOU2T52W,COAL,20181018131100,N,19,2019,6249
FOU2T52W,INTEW,20181018131100,N,19,2019,0
FOU2T52W,INTFR,20181018131100,N,19,2019,2000
FOU2T52W,INTIRL,20181018131100,N,19,2019,500
FOU2T52W,INTNED,20181018131100,N,19,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,19,2019,894
FOU2T52W,NUCLEAR,20181018131100,N,19,2019,8348
FOU2T52W,OCGT,20181018131100,N,19,2019,876
FOU2T52W,OTHER,20181018131100,N,19,2019,66
FOU2T52W,PS,20181018131100,N,19,2019,2000
FOU2T52W,WIND,20181018131100,N,19,2019,4526
FOU2T52W,BIOMASS,20181018131100,N,20,2019,2517
FOU2T52W,CCGT,20181018131100,N,20,2019,25458
FOU2T52W,COAL,20181018131100,N,20,2019,6729
FOU2T52W,INTEW,20181018131100,N,20,2019,500
FOU2T52W,INTFR,20181018131100,N,20,2019,2000
FOU2T52W,INTIRL,20181018131100,N,20,2019,500
FOU2T52W,INTNED,20181018131100,N,20,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,20,2019,854
FOU2T52W,NUCLEAR,20181018131100,N,20,2019,8286
FOU2T52W,OCGT,20181018131100,N,20,2019,736
FOU2T52W,OTHER,20181018131100,N,20,2019,66
FOU2T52W,PS,20181018131100,N,20,2019,2000
FOU2T52W,WIND,20181018131100,N,20,2019,4486
FOU2T52W,BIOMASS,20181018131100,N,21,2019,2517
FOU2T52W,CCGT,20181018131100,N,21,2019,23872
FOU2T52W,COAL,20181018131100,N,21,2019,7214
FOU2T52W,INTEW,20181018131100,N,21,2019,0
FOU2T52W,INTFR,20181018131100,N,21,2019,2000
FOU2T52W,INTIRL,20181018131100,N,21,2019,500
FOU2T52W,INTNED,20181018131100,N,21,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,21,2019,854
FOU2T52W,NUCLEAR,20181018131100,N,21,2019,8577
FOU2T52W,OCGT,20181018131100,N,21,2019,670
FOU2T52W,OTHER,20181018131100,N,21,2019,66
FOU2T52W,PS,20181018131100,N,21,2019,2420
FOU2T52W,WIND,20181018131100,N,21,2019,4496
FOU2T52W,BIOMASS,20181018131100,N,22,2019,2517
FOU2T52W,CCGT,20181018131100,N,22,2019,25392
FOU2T52W,COAL,20181018131100,N,22,2019,7714
FOU2T52W,INTEW,20181018131100,N,22,2019,0
FOU2T52W,INTFR,20181018131100,N,22,2019,2000
FOU2T52W,INTIRL,20181018131100,N,22,2019,500
FOU2T52W,INTNED,20181018131100,N,22,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,22,2019,854
FOU2T52W,NUCLEAR,20181018131100,N,22,2019,8108
FOU2T52W,OCGT,20181018131100,N,22,2019,810
FOU2T52W,OTHER,20181018131100,N,22,2019,66
FOU2T52W,PS,20181018131100,N,22,2019,2420
FOU2T52W,WIND,20181018131100,N,22,2019,4522
FOU2T52W,BIOMASS,20181018131100,N,23,2019,2517
FOU2T52W,CCGT,20181018131100,N,23,2019,24454
FOU2T52W,COAL,20181018131100,N,23,2019,7214
FOU2T52W,INTEW,20181018131100,N,23,2019,500
FOU2T52W,INTFR,20181018131100,N,23,2019,0
FOU2T52W,INTIRL,20181018131100,N,23,2019,500
FOU2T52W,INTNED,20181018131100,N,23,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,23,2019,825
FOU2T52W,NUCLEAR,20181018131100,N,23,2019,6986
FOU2T52W,OCGT,20181018131100,N,23,2019,810
FOU2T52W,OTHER,20181018131100,N,23,2019,66
FOU2T52W,PS,20181018131100,N,23,2019,2320
FOU2T52W,WIND,20181018131100,N,23,2019,2595
FOU2T52W,BIOMASS,20181018131100,N,24,2019,2507
FOU2T52W,CCGT,20181018131100,N,24,2019,23856
FOU2T52W,COAL,20181018131100,N,24,2019,7214
FOU2T52W,INTEW,20181018131100,N,24,2019,500
FOU2T52W,INTFR,20181018131100,N,24,2019,2000
FOU2T52W,INTIRL,20181018131100,N,24,2019,500
FOU2T52W,INTNED,20181018131100,N,24,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,24,2019,907
FOU2T52W,NUCLEAR,20181018131100,N,24,2019,6216
FOU2T52W,OCGT,20181018131100,N,24,2019,876
FOU2T52W,OTHER,20181018131100,N,24,2019,66
FOU2T52W,PS,20181018131100,N,24,2019,2320
FOU2T52W,WIND,20181018131100,N,24,2019,2504
FOU2T52W,BIOMASS,20181018131100,N,25,2019,2507
FOU2T52W,CCGT,20181018131100,N,25,2019,25581
FOU2T52W,COAL,20181018131100,N,25,2019,7214
FOU2T52W,INTEW,20181018131100,N,25,2019,500
FOU2T52W,INTFR,20181018131100,N,25,2019,1000
FOU2T52W,INTIRL,20181018131100,N,25,2019,500
FOU2T52W,INTNED,20181018131100,N,25,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,25,2019,788
FOU2T52W,NUCLEAR,20181018131100,N,25,2019,7286
FOU2T52W,OCGT,20181018131100,N,25,2019,876
FOU2T52W,OTHER,20181018131100,N,25,2019,66
FOU2T52W,PS,20181018131100,N,25,2019,2420
FOU2T52W,WIND,20181018131100,N,25,2019,2464
FOU2T52W,BIOMASS,20181018131100,N,26,2019,2504
FOU2T52W,CCGT,20181018131100,N,26,2019,25051
FOU2T52W,COAL,20181018131100,N,26,2019,7714
FOU2T52W,INTEW,20181018131100,N,26,2019,500
FOU2T52W,INTFR,20181018131100,N,26,2019,1000
FOU2T52W,INTIRL,20181018131100,N,26,2019,500
FOU2T52W,INTNED,20181018131100,N,26,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,26,2019,815
FOU2T52W,NUCLEAR,20181018131100,N,26,2019,7535
FOU2T52W,OCGT,20181018131100,N,26,2019,876
FOU2T52W,OTHER,20181018131100,N,26,2019,66
FOU2T52W,PS,20181018131100,N,26,2019,2270
FOU2T52W,WIND,20181018131100,N,26,2019,2579
FOU2T52W,BIOMASS,20181018131100,N,27,2019,2504
FOU2T52W,CCGT,20181018131100,N,27,2019,25907
FOU2T52W,COAL,20181018131100,N,27,2019,7735
FOU2T52W,INTEW,20181018131100,N,27,2019,500
FOU2T52W,INTFR,20181018131100,N,27,2019,2000
FOU2T52W,INTIRL,20181018131100,N,27,2019,500
FOU2T52W,INTNED,20181018131100,N,27,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,27,2019,856
FOU2T52W,NUCLEAR,20181018131100,N,27,2019,7071
FOU2T52W,OCGT,20181018131100,N,27,2019,876
FOU2T52W,OTHER,20181018131100,N,27,2019,66
FOU2T52W,PS,20181018131100,N,27,2019,2470
FOU2T52W,WIND,20181018131100,N,27,2019,2589
FOU2T52W,BIOMASS,20181018131100,N,28,2019,1859
FOU2T52W,CCGT,20181018131100,N,28,2019,27772
FOU2T52W,COAL,20181018131100,N,28,2019,7250
FOU2T52W,INTEW,20181018131100,N,28,2019,500
FOU2T52W,INTFR,20181018131100,N,28,2019,2000
FOU2T52W,INTIRL,20181018131100,N,28,2019,500
FOU2T52W,INTNED,20181018131100,N,28,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,28,2019,903
FOU2T52W,NUCLEAR,20181018131100,N,28,2019,6780
FOU2T52W,OCGT,20181018131100,N,28,2019,876
FOU2T52W,OTHER,20181018131100,N,28,2019,66
FOU2T52W,PS,20181018131100,N,28,2019,2470
