HDR,SYSTEM FREQUENCY DATA
FREQ,20181010125315,50.110
FREQ,20181010125330,50.130
FREQ,20181010125345,50.132
FREQ,20181010125400,50.132
FREQ,20181010125415,50.107
FREQ,20181010125430,50.120
FREQ,20181010125445,50.112
FREQ,20181010125500,50.125
FREQ,20181010125515,50.125
FREQ,20181010125530,50.125
FREQ,20181010125545,50.112
FREQ,20181010125600,50.122
FREQ,20181010125615,50.112
FREQ,20181010125630,50.105
FREQ,20181010125645,50.105
FREQ,20181010125700,50.097
FREQ,20181010125715,50.077
FREQ,20181010125730,50.095
FREQ,20181010125745,50.067
FREQ,20181010125800,50.067
FREQ,20181010125815,50.047
FREQ,20181010125830,50.030
FREQ,20181010125845,50.025
FREQ,20181010125900,50.030
FREQ,20181010125915,49.977
FREQ,20181010125930,49.987
FREQ,20181010125945,49.955
FREQ,20181010130000,49.970
FREQ,20181010130015,49.922
FREQ,20181010130030,49.957
FREQ,20181010130045,49.975
FREQ,20181010130100,49.982
FREQ,20181010130115,49.980
FREQ,20181010130130,50.015
FREQ,20181010130145,50.025
FREQ,20181010130200,49.960
FREQ,20181010130215,49.972
FREQ,20181010130230,49.990
FREQ,20181010130245,49.985
FREQ,20181010130300,50.007
FREQ,20181010130315,50.017
FREQ,20181010130330,49.977
FREQ,20181010130345,49.962
FREQ,20181010130400,49.980
FREQ,20181010130415,49.975
FREQ,20181010130430,49.972
FREQ,20181010130445,49.992
FREQ,20181010130500,50.022
FREQ,20181010130515,49.952
FREQ,20181010130530,49.952
FREQ,20181010130545,49.945
FREQ,20181010130600,49.922
FREQ,20181010130615,49.915
FREQ,20181010130630,49.907
FREQ,20181010130645,49.905
FREQ,20181010130700,49.920
FREQ,20181010130715,49.925
FREQ,20181010130730,49.922
FREQ,20181010130745,49.952
FREQ,20181010130800,49.957
FREQ,20181010130815,49.960
FREQ,20181010130830,49.960
FREQ,20181010130845,50.005
FREQ,20181010130900,49.952
FREQ,20181010130915,49.960
FREQ,20181010130930,49.967
FREQ,20181010130945,49.887
FREQ,20181010131000,50.005
FREQ,20181010131015,50.047
FREQ,20181010131030,50.060
FREQ,20181010131045,50.040
FREQ,20181010131100,50.022
FREQ,20181010131115,50.035
FREQ,20181010131130,50.047
FREQ,20181010131145,50.052
FREQ,20181010131200,50.052
FREQ,20181010131215,50.050
FREQ,20181010131230,50.082
FREQ,20181010131245,50.075
FREQ,20181010131300,50.080
FREQ,20181010131315,50.060
FREQ,20181010131330,50.085
FREQ,20181010131345,50.085
FREQ,20181010131400,50.067
FREQ,20181010131415,50.067
FREQ,20181010131430,50.052
FREQ,20181010131445,50.052
FREQ,20181010131500,50.047
FREQ,20181010131515,50.040
FREQ,20181010131530,50.035
FREQ,20181010131545,50.040
FREQ,20181010131600,50.050
FREQ,20181010131615,50.037
FREQ,20181010131630,50.015
FREQ,20181010131645,50.032
FREQ,20181010131700,50.062
FREQ,20181010131715,50.065
FREQ,20181010131730,50.060
FREQ,20181010131745,50.072
FREQ,20181010131800,50.067
FREQ,20181010131815,50.055
FREQ,20181010131830,50.022
FREQ,20181010131845,50.040
FREQ,20181010131900,50.040
FREQ,20181010131915,50.027
FREQ,20181010131930,50.037
FREQ,20181010131945,50.047
FREQ,20181010132000,50.047
FREQ,20181010132015,50.015
FREQ,20181010132030,50.057
FREQ,20181010132045,50.087
FREQ,20181010132100,50.062
FREQ,20181010132115,50.082
FREQ,20181010132130,50.095
FREQ,20181010132145,50.077
FREQ,20181010132200,50.060
FREQ,20181010132215,50.055
FREQ,20181010132230,50.035
FREQ,20181010132245,50.065
FREQ,20181010132300,50.077
FREQ,20181010132315,50.062
FREQ,20181010132330,50.075
FREQ,20181010132345,50.100
FREQ,20181010132400,50.075
FREQ,20181010132415,50.077
FREQ,20181010132430,50.060
FREQ,20181010132445,50.072
FREQ,20181010132500,50.062
FREQ,20181010132515,50.042
FREQ,20181010132530,50.080
FREQ,20181010132545,50.075
FREQ,20181010132600,50.092
FREQ,20181010132615,50.092
FREQ,20181010132630,50.092
FREQ,20181010132645,50.087
FREQ,20181010132700,50.090
FREQ,20181010132715,50.055
FREQ,20181010132730,50.032
FREQ,20181010132745,50.050
FREQ,20181010132800,50.082
FREQ,20181010132815,50.060
FREQ,20181010132830,50.062
FREQ,20181010132845,50.062
FREQ,20181010132900,50.035
FREQ,20181010132915,50.025
FREQ,20181010132930,50.045
FREQ,20181010132945,50.042
FREQ,20181010133000,50.027
FREQ,20181010133015,50.037
FREQ,20181010133030,49.965
FREQ,20181010133045,49.955
FREQ,20181010133100,49.910
FREQ,20181010133115,49.915
FREQ,20181010133130,49.937
FREQ,20181010133145,49.912
FREQ,20181010133200,49.890
FREQ,20181010133215,49.892
FREQ,20181010133230,49.877
FREQ,20181010133245,49.875
FREQ,20181010133300,49.840
FREQ,20181010133315,49.877
FREQ,20181010133330,49.900
FREQ,20181010133345,49.980
FREQ,20181010133400,49.935
FREQ,20181010133415,49.937
FREQ,20181010133430,49.962
FREQ,20181010133445,49.952
FREQ,20181010133500,49.910
FREQ,20181010133515,49.952
FREQ,20181010133530,49.980
FREQ,20181010133545,49.990
FREQ,20181010133600,49.990
FREQ,20181010133615,49.975
FREQ,20181010133630,49.962
FREQ,20181010133645,50.015
FREQ,20181010133700,49.992
FREQ,20181010133715,50.000
FREQ,20181010133730,49.957
FREQ,20181010133745,49.975
FREQ,20181010133800,49.955
FREQ,20181010133815,49.975
FREQ,20181010133830,49.947
FREQ,20181010133845,49.937
FREQ,20181010133900,49.965
FREQ,20181010133915,49.957
FREQ,20181010133930,49.992
FREQ,20181010133945,49.990
FREQ,20181010134000,49.965
FREQ,20181010134015,49.950
FREQ,20181010134030,49.925
FREQ,20181010134045,49.942
FREQ,20181010134100,49.972
FREQ,20181010134115,49.912
FREQ,20181010134130,49.937
FREQ,20181010134145,49.947
FREQ,20181010134200,49.935
FREQ,20181010134215,49.915
FREQ,20181010134230,49.925
FREQ,20181010134245,49.947
FREQ,20181010134300,49.952
FREQ,20181010134315,49.950
FREQ,20181010134330,49.957
FREQ,20181010134345,49.922
FREQ,20181010134400,49.940
FREQ,20181010134415,49.937
FREQ,20181010134430,49.937
FREQ,20181010134445,49.912
FREQ,20181010134500,49.905
FREQ,20181010134515,49.885
FREQ,20181010134530,49.902
FREQ,20181010134545,49.912
FREQ,20181010134600,49.922
FREQ,20181010134615,49.905
FREQ,20181010134630,49.925
FREQ,20181010134645,49.912
FREQ,20181010134700,49.910
FREQ,20181010134715,49.897
FREQ,20181010134730,49.905
FREQ,20181010134745,49.895
FREQ,20181010134800,49.910
FREQ,20181010134815,49.922
FREQ,20181010134830,49.927
FREQ,20181010134845,49.965
FREQ,20181010134900,49.917
FREQ,20181010134915,49.915
FREQ,20181010134930,49.925
FREQ,20181010134945,49.922
FREQ,20181010135000,49.927
FREQ,20181010135015,49.910
FREQ,20181010135030,49.917
FREQ,20181010135045,49.920
FREQ,20181010135100,49.920
FREQ,20181010135115,49.920
