,settlementDate,settlementPeriod,powerSystemResourceType,quantity
184,2018-10-20,17,"""Hydro Run-of-river and poundage""",699
185,2018-10-20,17,"""Hydro Pumped Storage""",152
186,2018-10-20,17,"""Biomass""",1759
187,2018-10-20,18,"""Solar""",1134
188,2018-10-20,18,"""Wind Offshore""",904.472
189,2018-10-20,18,"""Wind Onshore""",3301.3
190,2018-10-20,18,"""Other""",26
191,2018-10-20,18,"""Nuclear""",5300
192,2018-10-20,18,"""Fossil Oil""",0
193,2018-10-20,18,"""Fossil Gas""",14834
194,2018-10-20,18,"""Fossil Hard coal""",0
195,2018-10-20,18,"""Hydro Run-of-river and poundage""",822
196,2018-10-20,18,"""Hydro Pumped Storage""",159
197,2018-10-20,18,"""Biomass""",1769
198,2018-10-20,19,"""Solar""",1955
199,2018-10-20,19,"""Wind Offshore""",857.052
200,2018-10-20,19,"""Wind Onshore""",3464.727
201,2018-10-20,19,"""Other""",26
202,2018-10-20,19,"""Nuclear""",5292
203,2018-10-20,19,"""Fossil Oil""",0
204,2018-10-20,19,"""Fossil Gas""",15168
205,2018-10-20,19,"""Fossil Hard coal""",0
206,2018-10-20,19,"""Hydro Run-of-river and poundage""",805
207,2018-10-20,19,"""Hydro Pumped Storage""",455
208,2018-10-20,19,"""Biomass""",1766
209,2018-10-20,20,"""Solar""",2736
210,2018-10-20,20,"""Wind Offshore""",836.104
211,2018-10-20,20,"""Wind Onshore""",3417.326
212,2018-10-20,20,"""Other""",26
213,2018-10-20,20,"""Nuclear""",5154
214,2018-10-20,20,"""Fossil Oil""",0
215,2018-10-20,20,"""Fossil Gas""",15570
216,2018-10-20,20,"""Fossil Hard coal""",0
217,2018-10-20,20,"""Hydro Run-of-river and poundage""",811
218,2018-10-20,20,"""Hydro Pumped Storage""",160
219,2018-10-20,20,"""Biomass""",1766
220,2018-10-20,21,"""Solar""",0
221,2018-10-20,21,"""Wind Offshore""",919.351
222,2018-10-20,21,"""Wind Onshore""",3506.175
223,2018-10-20,21,"""Other""",27
224,2018-10-20,21,"""Nuclear""",5146
225,2018-10-20,21,"""Fossil Oil""",0
226,2018-10-20,21,"""Fossil Gas""",15212
227,2018-10-20,21,"""Fossil Hard coal""",0
228,2018-10-20,21,"""Hydro Run-of-river and poundage""",720
229,2018-10-20,21,"""Hydro Pumped Storage""",144
230,2018-10-20,21,"""Biomass""",1769
231,2018-10-20,22,"""Solar""",3440
232,2018-10-20,22,"""Wind Offshore""",910.038
233,2018-10-20,22,"""Wind Onshore""",3517.036
234,2018-10-20,22,"""Other""",26
235,2018-10-20,22,"""Nuclear""",5160
236,2018-10-20,22,"""Fossil Oil""",0
237,2018-10-20,22,"""Fossil Gas""",14586
238,2018-10-20,22,"""Fossil Hard coal""",0
239,2018-10-20,22,"""Hydro Run-of-river and poundage""",722
240,2018-10-20,22,"""Hydro Pumped Storage""",156
241,2018-10-20,22,"""Biomass""",1765
242,2018-10-20,23,"""Solar""",4000
243,2018-10-20,23,"""Wind Offshore""",1024.614
244,2018-10-20,23,"""Wind Onshore""",3423.078
245,2018-10-20,23,"""Other""",26
246,2018-10-20,23,"""Nuclear""",5161
247,2018-10-20,23,"""Fossil Oil""",0
248,2018-10-20,23,"""Fossil Gas""",14274
249,2018-10-20,23,"""Fossil Hard coal""",0
250,2018-10-20,23,"""Hydro Run-of-river and poundage""",715
251,2018-10-20,23,"""Hydro Pumped Storage""",147
252,2018-10-20,23,"""Biomass""",1766
253,2018-10-20,24,"""Solar""",4470
254,2018-10-20,24,"""Wind Offshore""",1096.886
255,2018-10-20,24,"""Wind Onshore""",3439.711
256,2018-10-20,24,"""Other""",27
257,2018-10-20,24,"""Nuclear""",5291
258,2018-10-20,24,"""Fossil Oil""",0
259,2018-10-20,24,"""Fossil Gas""",13254
260,2018-10-20,24,"""Fossil Hard coal""",0
261,2018-10-20,24,"""Hydro Run-of-river and poundage""",627
262,2018-10-20,24,"""Hydro Pumped Storage""",146
263,2018-10-20,24,"""Biomass""",1772
264,2018-10-20,25,"""Solar""",4910
265,2018-10-20,25,"""Wind Offshore""",1161.302
266,2018-10-20,25,"""Wind Onshore""",3565.616
267,2018-10-20,25,"""Other""",26
268,2018-10-20,25,"""Nuclear""",5334
269,2018-10-20,25,"""Fossil Oil""",0
270,2018-10-20,25,"""Fossil Gas""",12680
271,2018-10-20,25,"""Fossil Hard coal""",0
272,2018-10-20,25,"""Hydro Run-of-river and poundage""",552
273,2018-10-20,25,"""Hydro Pumped Storage""",147
274,2018-10-20,25,"""Biomass""",1773
275,2018-10-20,26,"""Solar""",5210
276,2018-10-20,26,"""Wind Offshore""",1203.737
277,2018-10-20,26,"""Wind Onshore""",3751.995
278,2018-10-20,26,"""Other""",26
279,2018-10-20,26,"""Nuclear""",5392
280,2018-10-20,26,"""Fossil Oil""",0
281,2018-10-20,26,"""Fossil Gas""",11759
282,2018-10-20,26,"""Fossil Hard coal""",0
283,2018-10-20,26,"""Hydro Run-of-river and poundage""",514
284,2018-10-20,26,"""Hydro Pumped Storage""",175
285,2018-10-20,26,"""Biomass""",1771
286,2018-10-20,27,"""Solar""",5340
287,2018-10-20,27,"""Wind Offshore""",1144.459
288,2018-10-20,27,"""Wind Onshore""",3623.959
289,2018-10-20,27,"""Other""",27
290,2018-10-20,27,"""Nuclear""",5394
291,2018-10-20,27,"""Fossil Oil""",0
292,2018-10-20,27,"""Fossil Gas""",11529
293,2018-10-20,27,"""Fossil Hard coal""",0
294,2018-10-20,27,"""Hydro Run-of-river and poundage""",451
295,2018-10-20,27,"""Hydro Pumped Storage""",180
296,2018-10-20,27,"""Biomass""",1767
297,2018-10-20,28,"""Solar""",5250
298,2018-10-20,28,"""Wind Offshore""",1142.097
299,2018-10-20,28,"""Wind Onshore""",3522.717
300,2018-10-20,28,"""Other""",27
301,2018-10-20,28,"""Nuclear""",5382
302,2018-10-20,28,"""Fossil Oil""",0
303,2018-10-20,28,"""Fossil Gas""",11225
304,2018-10-20,28,"""Fossil Hard coal""",0
305,2018-10-20,28,"""Hydro Run-of-river and poundage""",462
306,2018-10-20,28,"""Hydro Pumped Storage""",147
307,2018-10-20,28,"""Biomass""",1765
308,2018-10-20,29,"""Solar""",4810
309,2018-10-20,29,"""Wind Offshore""",1127.63
310,2018-10-20,29,"""Wind Onshore""",3743.832
311,2018-10-20,29,"""Other""",50
312,2018-10-20,29,"""Nuclear""",5224
313,2018-10-20,29,"""Fossil Oil""",0
314,2018-10-20,29,"""Fossil Gas""",10727
315,2018-10-20,29,"""Fossil Hard coal""",0
316,2018-10-20,29,"""Hydro Run-of-river and poundage""",463
317,2018-10-20,29,"""Hydro Pumped Storage""",162
318,2018-10-20,29,"""Biomass""",1735
319,2018-10-20,30,"""Solar""",4280
320,2018-10-20,30,"""Wind Offshore""",1135.37
